iter,cpx5_a,cpx5_b,mond_a0
0,-16.939941074402277,-71.56177347406634,8.799377169866638e-11
1,-16.989404209981927,-71.8828893500056,1.1490725237467368e-10
2,-17.449732157015504,-76.79634241119824,2.103633723498686e-10
3,-17.103524729793772,-73.08234293011766,6.529739413659455e-11
4,-17.327576818181818,-75.2526933819633,1.2880938078592275e-10
5,-16.99308869726126,-72.09834680996565,1.27369690822364e-10
6,-17.366275381029105,-75.77232370651387,3.808920951282052e-10
7,-17.103450230015735,-73.23005967884502,1.3935429221786284e-10
8,-16.973153422422183,-72.07360676359153,3.055665385983365e-10
9,-16.907982850421753,-71.30005856289326,1.8277273282434654e-10
10,-16.997582079691405,-72.05208178731908,1.3795329355385262e-10
11,-17.019910625456006,-72.37549057272682,1.4513210710422086e-10
12,-17.26138039947498,-74.7463063592715,1.6043823879412663e-10
13,-17.076189843013324,-72.90100534754578,2.054176645370889e-10
14,-17.105420197372077,-73.39540962413187,1.780580721345798e-10
15,-17.133735361498655,-73.55740569133673,3.4828963052686163e-10
16,-17.130395342062986,-73.51882261002302,3.4340430497722696e-10
17,-17.116891649921413,-73.44233348794671,4.0712298401824947e-10
18,-16.908047045691934,-70.93797602997093,1.1392819531039083e-10
19,-17.11045153972568,-73.1924468678038,1.5291262824599848e-10
20,-17.101696617370166,-73.16392641282873,1.9734262237057866e-10
21,-17.02973711647875,-72.5822507058308,1.7266540003546314e-10
22,-17.001424636051198,-72.15441414744983,1.1007688634252671e-10
23,-16.95218734593347,-71.72854695367066,1.3750528236412367e-10
24,-16.806345396288243,-70.18821580604939,2.1876792836782887e-10
25,-17.135378311044782,-73.6574733733308,2.343436523143904e-10
26,-16.685330136980056,-68.97993699761165,1.734838187992705e-10
27,-17.03122572924528,-72.52719220662135,3.3123561677765554e-10
28,-17.051996781165712,-72.5321280429489,8.974511920496347e-11
29,-17.032250906761206,-72.43743910728867,2.4742160075894576e-10
30,-17.070375172842496,-72.78835650717409,1.171814145832889e-10
31,-17.069228914364533,-72.59614792535368,1.2319448736270663e-10
32,-17.10181838205858,-73.28977841392528,3.0007990874864554e-10
33,-17.291077523632275,-75.2507241933664,5.069762959207076e-10
34,-16.828156739242594,-70.4306100049546,1.1709485362984069e-10
35,-17.036224827550647,-72.50511540089488,1.9892796558684927e-10
36,-16.96463533623227,-71.46008960424916,3.36851975453153e-11
37,-16.94956835592194,-71.54780231240497,3.2836050403792134e-10
38,-17.063551972516006,-72.86586156451325,2.941687768069869e-10
39,-16.925803961039303,-71.27619984709902,9.956261437066095e-11
40,-17.15703988620917,-73.71748166432424,3.8356044067621515e-10
41,-16.861296006233008,-70.6650740959966,8.504476637129329e-11
42,-17.084128826106763,-72.76201698007284,1.009253568597405e-10
43,-16.931049630319233,-71.44738826679475,1.8701888847180053e-10
44,-17.082575476843378,-72.89836238390964,1.2532712918301243e-10
45,-17.16588169096673,-73.71897206554443,2.2399332608819065e-10
46,-17.14712639730762,-73.5475202818,2.0365543050198025e-10
47,-17.152752757027834,-73.62823390818888,1.9347329794947052e-10
48,-17.07868176502022,-72.80488667621762,1.5864268092247332e-10
49,-16.99729621472276,-72.05425913275505,1.5071951453521808e-10
50,-16.810100981249708,-70.15911465217135,1.2183589731693068e-10
51,-16.948681236091552,-71.41887568110297,1.470290318045463e-10
52,-17.053918476642934,-72.55097725723017,2.2822618361266432e-10
53,-16.989839635349362,-72.01188526473521,2.493476574711301e-10
54,-16.700919050902094,-69.12846290990493,1.2794878433406354e-10
55,-17.130998439491915,-73.36494021079999,2.078620713934705e-10
56,-17.159047470767383,-73.75975630224688,3.733101496903664e-10
57,-16.736845985280738,-69.46149187756014,8.929373169066285e-11
58,-16.967540547505113,-71.52969820243536,8.431905466093133e-11
59,-17.035290634680294,-72.70661159750495,1.5252843683087748e-10
60,-17.035222019334245,-72.51608290778557,1.7190062308524101e-10
61,-17.17884250958454,-73.99734440799585,2.099788814175256e-10
62,-16.920449838024506,-71.33260529786394,1.6150569248279434e-10
63,-17.014483946294046,-72.19835283864964,2.1796454507605026e-10
64,-16.93404485909256,-71.38003607845774,1.5879579107316425e-10
65,-17.068248505957246,-72.89265409618251,1.2833948315138678e-10
66,-17.133695216414004,-73.54170905919959,1.373745770415676e-10
67,-17.130715390537805,-73.53028460101538,2.0999129538923446e-10
68,-17.045588460669872,-72.65577127299706,1.115362561492056e-10
69,-17.070835160905567,-72.88058924057108,1.697826550974696e-10
70,-16.783219673082748,-69.93275137635634,1.9115147130726897e-10
71,-17.115884373474834,-73.22025143094078,8.116362277779712e-11
72,-17.216203953746277,-74.40211029359209,2.928024871112582e-10
73,-17.136016340699413,-73.40180304341631,1.9982737508011613e-10
74,-17.08747785009985,-72.9923033492313,2.5167885132453495e-10
75,-17.093766918389203,-73.01053438554237,2.4882447545469193e-10
76,-17.246800908666852,-74.51896506185078,2.7809122161006676e-10
77,-16.736026356804174,-69.09491243831057,4.471797124179993e-11
78,-17.16707871448782,-73.74460713551572,2.183194167570857e-10
79,-16.991074193181262,-72.21258536155344,2.3905340835599643e-10
80,-16.733765907018025,-69.30427417503607,9.045475242670302e-11
81,-16.985593591002576,-72.13744090991456,1.6052388895778398e-10
82,-17.22313346013491,-74.22701015010477,2.2460490270288572e-10
83,-17.10223584926024,-73.2381375254465,1.1432517740515359e-10
84,-17.1208720724839,-73.18744819164228,2.788120793329767e-10
85,-17.141813730926216,-73.47461496890905,2.6962388100777737e-10
86,-16.917349792888615,-71.2025694327542,1.7166134907111313e-10
87,-17.07737970538375,-73.17976191422945,2.6819739715519395e-10
88,-17.01034710642055,-72.02106035047356,1.1473241536766879e-10
89,-17.097731468112848,-73.12910441836135,1.53100643879409e-10
90,-17.054953166041365,-72.61571851817884,2.195206575588564e-10
91,-17.297632233784288,-75.13892621866293,9.305340183666294e-11
92,-16.822788619591943,-70.1201281845349,4.48496275029607e-11
93,-17.21335240732298,-74.32447856009566,2.3640631491713474e-10
94,-17.16862654770292,-73.63704098747311,1.259384292383614e-10
95,-17.002769365245907,-72.21680680153806,1.3959979545986833e-10
96,-17.155709881576534,-73.66660020252279,2.434230315816103e-10
97,-16.942468901585254,-71.4579390281056,1.4119081662679258e-10
98,-17.116109785233416,-73.2256953165296,1.0837724208503502e-10
99,-17.175081960364192,-73.94284065192831,3.522727105962245e-10
100,-17.041647031801933,-72.58089374619856,3.3076533893969767e-10
101,-17.061636042973714,-72.88835722822475,1.5540237865678284e-10
102,-16.994552583738376,-72.15866465036504,1.2911041326389422e-10
103,-16.861015674787854,-70.52087275103659,5.468216380725804e-11
104,-16.80935035485887,-70.12308852468553,8.4036678070959e-11
105,-17.125180803655844,-73.4620556894461,2.2423220687975508e-10
106,-17.269426635681192,-74.91007024554708,2.803688460700084e-10
107,-16.890146915976302,-71.01230115520072,7.93842172004922e-11
108,-17.040291607806154,-72.50481607861228,9.989137961893562e-11
109,-16.909160676921836,-71.03153564448493,8.607191818885387e-11
110,-16.740772370935606,-69.34254504175287,6.259752394006547e-11
111,-17.091286339836824,-73.11321967738425,3.341955543870134e-10
112,-17.202667418271616,-73.95028414355025,6.59693046392567e-11
113,-16.98284968135985,-72.00795705818611,1.5972774921306202e-10
114,-17.001238189806056,-72.06800517336508,1.1451256588906371e-10
115,-17.107611407132257,-73.20252263386301,3.3894658091344166e-10
116,-17.211887481898792,-74.07448658981419,2.543161906559282e-10
117,-17.19396426474436,-74.2499062673247,1.8958892911430027e-10
118,-16.999191571246556,-71.9470049507314,5.5320855763176645e-11
119,-17.076042902303687,-73.07929107698266,1.4224370614744704e-10
120,-17.062604744936767,-72.71783344979463,3.11520416607132e-10
121,-17.050427030845434,-72.68797982006151,3.321327544006512e-10
122,-17.139145843555205,-73.4957002332778,1.9745739168206936e-10
123,-17.074524141775846,-73.0095530075605,1.734225882654296e-10
124,-16.891949976018815,-70.95316716988428,1.325427754207147e-10
125,-17.120955498517798,-73.18917462928418,9.72238142851469e-11
126,-17.250698222787918,-74.74463993841752,3.401042908530924e-10
127,-17.02295014388618,-72.42922847279509,1.4973762257198446e-10
128,-17.131876670701203,-73.63822231073033,2.1963088502754202e-10
129,-17.01714270909001,-72.27192840953053,1.742402904437626e-10
130,-16.9893200524718,-71.74792474751541,8.3160501056233e-11
131,-16.960043173409307,-71.81394246488335,1.4841294109414374e-10
132,-16.97198987062765,-71.97547888276603,1.447982692844605e-10
133,-17.140964473799286,-73.4031799351927,1.7652341676924766e-10
134,-17.048630918712323,-72.35074015955819,8.83084851875016e-11
135,-17.379196523030746,-75.8851011968467,2.363882528057195e-10
136,-17.324562469306564,-75.4475773979995,2.6469507620097713e-10
137,-17.10096494804814,-73.11697801628394,1.7133752552876286e-10
138,-16.90184947513142,-71.11319781671162,6.68087001817147e-11
139,-16.972055765304646,-71.88138505357969,1.218821644525943e-10
140,-17.192676663860993,-74.03699298469958,1.6122145918842283e-10
141,-17.02197753800371,-72.41119567372095,2.6069938778319707e-10
142,-16.941717990864387,-71.46390044241988,1.5656029936214375e-10
143,-17.094385570809767,-73.22642139089015,2.7468558297568704e-10
144,-17.00835904609668,-72.101497421711,5.482555239499985e-11
145,-17.071547473303575,-72.93772303719382,1.4098373076735057e-10
146,-17.16982605717169,-73.91630703484051,4.5483136383536015e-10
147,-17.169059061705365,-73.85294463224992,2.72299393324251e-10
148,-17.076042372049976,-73.0235678758503,1.6195715585213047e-10
149,-16.96995874058025,-71.53141308433267,4.839555037201693e-11
150,-16.975282217402885,-71.92086221810024,1.1692436795677152e-10
151,-17.064162216219575,-72.8543978348389,3.2446555922910204e-10
152,-17.02654609158243,-72.50631110317477,1.6146526186613137e-10
153,-17.03226877459303,-72.52173697490974,2.1038891130355164e-10
154,-16.962942859164222,-71.68408185578423,5.961904975817601e-11
155,-17.09158430903802,-73.09127127552358,1.3895113337490963e-10
156,-17.06708106295083,-72.87120979457353,1.61445095774615e-10
157,-17.302328568535994,-75.2806915284032,1.36280506300244e-10
158,-17.054320130629343,-72.83980775128316,3.424569071086437e-10
159,-17.292706538591556,-75.06307294091359,1.8770006807971232e-10
160,-17.1870603159965,-73.88154948754435,1.7020905815059028e-10
161,-16.99045373152281,-71.82768238269311,1.4810815806821617e-10
162,-16.97009917858437,-71.49924612714611,8.276412382028856e-11
163,-17.17300319811646,-73.92341329010426,2.8402181759465717e-10
164,-17.20244493111696,-74.25103513706182,2.9303019274889404e-10
165,-16.920748046145047,-71.40772416545789,1.402669458811673e-10
166,-17.127763322532143,-73.33705468395205,2.1395645630200362e-10
167,-17.0574188366906,-72.81300914088538,3.076767802208296e-10
168,-17.116841691437337,-73.1571642924053,9.982968645232047e-11
169,-16.992587312441927,-71.80917808479464,1.159490618625994e-10
170,-17.244498405979154,-74.60856776049071,1.2587790077796467e-10
171,-17.090266452450216,-72.82879516092497,1.8187122318685395e-10
172,-16.993398178436568,-72.14039068860174,2.5795650108621184e-10
173,-17.276779177479384,-75.03606155911947,2.934664990026826e-10
174,-17.181052404799974,-73.9153123960916,2.0254592834567647e-10
175,-17.17466940554752,-74.09398875234723,2.1680362589225763e-10
176,-17.10743198994653,-73.19751844697862,1.7871473764902711e-10
177,-17.086991334615643,-72.87430859910116,2.4423383976382524e-10
178,-16.870302934524403,-70.93874077728512,3.1485125447065576e-10
179,-17.11403891459509,-73.22034742833534,2.585014025807222e-10
180,-17.12458067802019,-73.23205616356522,2.3558797425191325e-10
181,-17.00379291498494,-72.21865790669041,2.760063835324954e-10
182,-17.025770835764654,-72.3111381991313,2.2227440510499642e-10
183,-16.876952659306138,-70.94849470064162,2.647408338966126e-10
184,-17.181970585514502,-73.96993388021232,2.436592012308712e-10
185,-17.243903832058276,-74.59773766833891,2.2756527914949771e-10
186,-17.216827069187776,-74.30257690914718,3.1301218979820063e-10
187,-16.872034585004126,-70.91131493237327,1.5947841944674445e-10
188,-17.07134453076944,-72.73557492523696,9.07006566950175e-11
189,-17.074886190082363,-72.93070984045066,1.022409729972184e-10
190,-16.99808949343686,-72.07397436069262,8.03311911231078e-11
191,-17.3301956414439,-75.56916226664322,2.035116915732071e-10
192,-17.261703865007647,-74.74853647016594,2.7255324562418267e-10
193,-17.0614438041194,-72.70635439607078,1.2961633993792722e-10
194,-17.11098286596085,-73.02994550240317,1.5237497106374977e-10
195,-16.845068028097394,-70.43410056732387,9.797359135720158e-11
196,-17.099658587250566,-73.08842171793634,8.775643716793392e-11
197,-17.261217375539037,-74.90656001421436,2.4576297655872214e-10
198,-16.982208311040498,-71.92299601616443,2.398139561409117e-10
199,-16.846670061399532,-70.38761573928387,8.749994541597195e-11
