galaxy,n_pts,hook_fraction,hook_points,sign_changes,null_mean,null_std,null_p95,p_value,significant_95,degenerate_null
CamB,9,0.625,5,0,0.28125,0.09742785792574934,0.38124999999999964,0.0,True,False
D564-8,6,0.2,1,1,0.41600000000000004,0.1316966210652346,0.6,1.0,False,False
D631-7,16,0.5333333333333333,8,1,0.43933333333333335,0.08594313365372608,0.5366666666666665,0.26,False,False
DDO064,14,0.07692307692307693,1,3,0.1492307692307692,0.062321935693935675,0.23076923076923078,0.98,False,False
DDO154,12,0.36363636363636365,4,1,0.45818181818181813,0.09699620849708467,0.6363636363636364,0.92,False,False
DDO161,31,0.23333333333333334,7,6,0.36633333333333334,0.052386384999666975,0.43499999999999994,1.0,False,False
DDO168,10,0.4444444444444444,4,1,0.45444444444444443,0.10195012094398823,0.6666666666666666,0.72,False,False
DDO170,8,0.14285714285714285,1,1,0.30999999999999994,0.13560898170242025,0.5714285714285714,0.95,False,False
ESO079-G014,15,0.35714285714285715,5,2,0.377142857142857,0.08086269541762803,0.5,0.76,False,False
ESO116-G012,15,0.14285714285714285,2,3,0.30428571428571427,0.06822830820719744,0.42857142857142855,1.0,False,False
ESO444-G084,7,0.16666666666666666,1,1,0.21833333333333332,0.10978514370249637,0.3333333333333333,0.9,False,False
ESO563-G021,30,0.10344827586206896,3,1,0.42206896551724143,0.05411046964395319,0.5172413793103449,1.0,False,False
F561-1,6,0.2,1,1,0.276,0.159449051423958,0.6,0.87,False,False
F563-1,17,0.3125,5,3,0.31875,0.06343057228182637,0.4375,0.74,False,False
F563-V1,6,0.0,0,1,0.26999999999999996,0.12449899597988731,0.4,1.0,False,False
F563-V2,10,0.0,0,1,0.1366666666666667,0.09409084131706488,0.3333333333333333,1.0,False,False
F565-V2,7,0.16666666666666666,1,1,0.13999999999999999,0.1147945023848171,0.3333333333333333,0.67,False,False
F567-2,5,0.25,1,0,0.25,0.15,0.5,0.82,False,False
F568-1,12,0.2727272727272727,3,1,0.2109090909090909,0.07807603837666868,0.36363636363636365,0.4,False,False
F568-3,18,0.11764705882352941,2,1,0.22999999999999995,0.05524090054864788,0.35294117647058826,0.99,False,False
F568-V1,15,0.14285714285714285,2,1,0.36214285714285716,0.08284174733816771,0.5,1.0,False,False
F571-8,13,0.25,3,3,0.4591666666666667,0.08619664211041583,0.5833333333333334,1.0,False,False
F571-V1,7,0.16666666666666666,1,1,0.3400000000000001,0.13523641850067197,0.5,0.96,False,False
F574-1,14,0.15384615384615385,2,1,0.39230769230769236,0.08104349040655952,0.5384615384615384,1.0,False,False
F574-2,5,0.25,1,0,0.1025,0.12295832627357936,0.25,0.41,False,False
F579-V1,14,0.0,0,1,0.3246153846153846,0.07582290172524067,0.46153846153846156,1.0,False,False
F583-1,25,0.16666666666666666,4,2,0.1825,0.03898895855096529,0.25,0.85,False,False
F583-4,12,0.2727272727272727,3,4,0.2409090909090909,0.08067381522408566,0.36363636363636365,0.53,False,False
IC2574,34,0.24242424242424243,8,11,0.20272727272727273,0.04192235597161976,0.2727272727272727,0.3,False,False
IC4202,32,0.2903225806451613,9,1,0.4280645161290323,0.05117861643730753,0.5161290322580645,1.0,False,False
KK98-251,15,0.07142857142857142,1,1,0.10499999999999997,0.046789803529035195,0.14285714285714285,0.95,False,False
NGC0024,29,0.21428571428571427,6,5,0.2232142857142857,0.05258011380119806,0.32142857142857145,0.74,False,False
NGC0055,21,0.2,4,1,0.4200000000000001,0.05916079783099617,0.5,1.0,False,False
NGC0100,21,0.25,5,1,0.41200000000000003,0.06896375859826669,0.5,1.0,False,False
NGC0247,26,0.04,1,3,0.3528,0.06232302945139942,0.44,1.0,False,False
NGC0289,28,0.07407407407407407,2,0,0.1248148148148148,0.047906802527355775,0.18518518518518517,0.92,False,False
NGC0300,25,0.20833333333333334,5,5,0.3825,0.06906619208331155,0.5,1.0,False,False
NGC0801,13,0.08333333333333333,1,1,0.26083333333333336,0.0787533068088784,0.3333333333333333,1.0,False,False
NGC0891,18,0.0,0,0,0.0,0.0,0.0,0.5,False,True
NGC1003,36,0.08571428571428572,3,0,0.24371428571428566,0.051500743010293004,0.3142857142857143,1.0,False,False
NGC1090,24,0.17391304347826086,4,1,0.42739130434782596,0.05603637759854512,0.5217391304347826,1.0,False,False
NGC1705,14,0.0,0,0,0.12384615384615383,0.06517613822621621,0.23076923076923078,1.0,False,False
NGC2366,26,0.16,4,1,0.33599999999999997,0.05059644256269407,0.4,1.0,False,False
NGC2403,73,0.1527777777777778,11,3,0.30375,0.033944342152964616,0.3611111111111111,1.0,False,False
NGC2683,11,0.1,1,0,0.072,0.06493073232299171,0.2,0.61,False,False
NGC2841,50,0.02040816326530612,1,0,0.11999999999999998,0.03853631918994994,0.1836734693877551,1.0,False,False
NGC2903,34,0.18181818181818182,6,3,0.25030303030303025,0.050637805321949836,0.3333333333333333,0.97,False,False
NGC2915,30,0.27586206896551724,8,1,0.46275862068965523,0.054123652850299124,0.5517241379310345,1.0,False,False
NGC2955,24,0.08695652173913043,2,0,0.12869565217391302,0.05531145702187565,0.21739130434782608,0.92,False,False
NGC2976,27,0.07692307692307693,2,3,0.05769230769230768,0.02800042265107892,0.07884615384615375,0.54,False,False
NGC2998,13,0.0,0,0,0.21999999999999997,0.071219535397405,0.3333333333333333,1.0,False,False
NGC3109,25,0.20833333333333334,5,3,0.2970833333333333,0.057631190918344434,0.375,0.97,False,False
NGC3198,43,0.14285714285714285,6,5,0.2785714285714285,0.04047619047619047,0.33452380952380945,1.0,False,False
NGC3521,41,0.075,3,0,0.05975000000000001,0.035688758734369004,0.125,0.48,False,False
NGC3726,12,0.2727272727272727,3,1,0.15181818181818182,0.061731222259508944,0.2727272727272727,0.08,False,False
NGC3741,21,0.2,4,4,0.40549999999999997,0.07344896187149279,0.5,1.0,False,False
NGC3769,12,0.0,0,0,0.06000000000000001,0.060603030227268935,0.18181818181818182,1.0,False,False
NGC3877,13,0.25,3,1,0.39416666666666655,0.08728545125048047,0.5,0.98,False,False
NGC3893,10,0.0,0,0,0.0,0.0,0.0,0.5,False,True
NGC3917,17,0.0625,1,1,0.341875,0.07259422755977227,0.4375,1.0,False,False
NGC3949,7,0.0,0,0,0.10666666666666666,0.12138094304022082,0.3333333333333333,1.0,False,False
NGC3953,8,0.0,0,0,0.0014285714285714286,0.014214106244380277,0.0,1.0,False,False
NGC3972,10,0.1111111111111111,1,1,0.3833333333333334,0.10815512407739879,0.5555555555555556,1.0,False,False
NGC3992,9,0.0,0,0,0.0625,0.06959705453537528,0.125,1.0,False,False
NGC4010,12,0.45454545454545453,5,1,0.37545454545454554,0.0941732182805829,0.5454545454545454,0.32,False,False
NGC4013,36,0.05714285714285714,2,0,0.2931428571428571,0.051368218555357954,0.3728571428571428,1.0,False,False
NGC4051,7,0.0,0,0,0.1183333333333333,0.10876835732673154,0.3333333333333333,1.0,False,False
NGC4068,6,0.2,1,0,0.07,0.09539392014169458,0.2,0.35,False,False
NGC4085,7,0.3333333333333333,2,1,0.5183333333333333,0.11760338241545416,0.6666666666666666,0.99,False,False
NGC4088,12,0.09090909090909091,1,1,0.1609090909090909,0.0952204922732514,0.2727272727272727,0.91,False,False
NGC4100,24,0.043478260869565216,1,1,0.1860869565217391,0.058681157630619096,0.2608695652173913,1.0,False,False
NGC4138,7,0.0,0,0,0.0,0.0,0.0,0.5,False,True
NGC4157,17,0.0,0,1,0.176875,0.055940118653789075,0.25,1.0,False,False
NGC4183,23,0.0,0,0,0.23318181818181816,0.06700653724121142,0.36363636363636365,1.0,False,False
NGC4214,14,0.0,0,0,0.3146153846153846,0.08074724975623174,0.46153846153846156,1.0,False,False
NGC4217,19,0.05555555555555555,1,1,0.40666666666666657,0.06977919319158926,0.5,1.0,False,False
NGC4389,6,1.0,5,0,0.6199999999999999,0.18439088914585774,1.0,0.06,False,False
NGC4559,32,0.06451612903225806,2,0,0.11774193548387098,0.040899104300341826,0.16290322580645153,0.94,False,False
NGC5005,18,0.0,0,0,0.001176470588235294,0.00823529411764706,0.0,1.0,False,False
NGC5033,22,0.0,0,0,0.006666666666666667,0.016523191974188067,0.047619047619047616,1.0,False,False
NGC5055,28,0.0,0,0,0.0,0.0,0.0,0.5,False,True
NGC5371,19,0.0,0,0,0.05166666666666666,0.042495460905029175,0.11388888888888872,1.0,False,False
NGC5585,24,0.17391304347826086,4,3,0.36695652173913046,0.05907926174421923,0.4782608695652174,1.0,False,False
NGC5907,19,0.0,0,0,0.09944444444444443,0.05842321118304156,0.16666666666666666,1.0,False,False
NGC5985,33,0.0625,2,0,0.2296875,0.054374102004079106,0.3125,1.0,False,False
NGC6015,44,0.09302325581395349,4,3,0.28767441860465115,0.04716460250636656,0.3488372093023256,1.0,False,False
NGC6195,23,0.09090909090909091,2,0,0.07636363636363637,0.04401352158876438,0.13636363636363635,0.57,False,False
NGC6503,31,0.03333333333333333,1,0,0.25899999999999995,0.05160856948651497,0.3333333333333333,1.0,False,False
NGC6674,15,0.0,0,0,0.005,0.02083707449402117,0.07142857142857142,1.0,False,False
NGC6946,58,0.08771929824561403,5,2,0.23807017543859646,0.04048452314580072,0.2991228070175438,1.0,False,False
NGC7331,36,0.02857142857142857,1,0,0.004,0.010705710854397253,0.02857142857142857,0.13,False,False
NGC7793,46,0.3333333333333333,15,5,0.4411111111111111,0.04255715111601234,0.4888888888888889,0.98,False,False
NGC7814,18,0.0,0,0,0.0,0.0,0.0,0.5,False,True
PGC51017,6,0.0,0,0,0.2859999999999999,0.15034626699722214,0.4099999999999995,1.0,False,False
UGC00128,22,0.09523809523809523,2,1,0.34857142857142853,0.0712314741002482,0.47619047619047616,1.0,False,False
UGC00191,9,0.375,3,1,0.31,0.11247221879201993,0.5,0.51,False,False
UGC00731,12,0.0,0,0,0.2109090909090909,0.06665564647208494,0.2727272727272727,1.0,False,False
UGC00891,5,0.5,2,1,0.4975,0.18198557635153398,0.75,0.74,False,False
UGC01230,11,0.2,2,1,0.35099999999999987,0.09433451118228153,0.5,0.98,False,False
UGC01281,23,0.13636363636363635,3,1,0.12818181818181817,0.04471211864493796,0.18181818181818182,0.58,False,False
UGC02023,5,0.75,3,0,0.33,0.16911534525287766,0.5,0.02,True,False
UGC02259,8,0.0,0,0,0.2699999999999999,0.1176209754999125,0.42857142857142855,1.0,False,False
UGC02455,8,0.7142857142857143,5,1,0.6785714285714284,0.1057046327639196,0.8571428571428571,0.67,False,False
UGC02487,17,0.0,0,0,0.015625,0.027063293868263706,0.0625,1.0,False,False
UGC02885,19,0.0,0,0,0.0005555555555555556,0.005527707983925665,0.0,1.0,False,False
UGC02916,43,0.0,0,0,0.32976190476190476,0.04356232015126663,0.40476190476190477,1.0,False,False
UGC02953,115,0.017543859649122806,2,0,0.4393859649122806,0.028856716109690525,0.48289473684210527,1.0,False,False
UGC03205,48,0.0,0,0,0.3189361702127659,0.04790731582873318,0.40425531914893614,1.0,False,False
UGC03546,30,0.0,0,0,0.001724137931034483,0.00751534300610461,0.0017241379310343847,1.0,False,False
UGC03580,47,0.06521739130434782,3,2,0.3978260869565217,0.04072824781564172,0.4576086956521738,1.0,False,False
UGC04278,25,0.25,6,2,0.23333333333333336,0.04714045207910317,0.2937499999999999,0.52,False,False
UGC04305,22,0.19047619047619047,4,3,0.27571428571428563,0.0544171341564026,0.3357142857142856,0.98,False,False
UGC04325,8,0.0,0,1,0.25428571428571417,0.09600170066520826,0.42857142857142855,1.0,False,False
UGC04483,8,0.14285714285714285,1,1,0.3028571428571427,0.10743768958264666,0.42857142857142855,0.99,False,False
UGC04499,9,0.25,2,1,0.39375,0.1267070933294581,0.625,0.97,False,False
UGC05005,11,0.1,1,1,0.36199999999999993,0.10562196741208715,0.5,1.0,False,False
UGC05253,73,0.0,0,0,0.3176388888888889,0.032964100843864134,0.3618055555555555,1.0,False,False
UGC05414,6,0.2,1,1,0.364,0.14527215837867902,0.6,0.97,False,False
UGC05716,12,0.0,0,0,0.18727272727272726,0.09431790799522136,0.36363636363636365,1.0,False,False
UGC05721,23,0.09090909090909091,2,3,0.3277272727272728,0.061420848749891316,0.45454545454545453,1.0,False,False
UGC05750,11,0.1,1,1,0.10399999999999998,0.07337574531137657,0.2,0.75,False,False
UGC05764,10,0.0,0,1,0.22555555555555556,0.08812869377601523,0.3333333333333333,1.0,False,False
UGC05829,11,0.0,0,2,0.07799999999999999,0.06415605972938176,0.2,1.0,False,False
UGC05918,8,0.0,0,1,0.2342857142857142,0.11161157134071206,0.42857142857142855,1.0,False,False
UGC05986,15,0.21428571428571427,3,1,0.38500000000000006,0.08858006870300209,0.5035714285714283,0.99,False,False
UGC05999,5,0.25,1,1,0.37,0.14781745499094487,0.5,0.95,False,False
UGC06399,9,0.125,1,1,0.32375,0.09857579571071187,0.5,1.0,False,False
UGC06446,17,0.0625,1,1,0.22875,0.07614747205259016,0.375,1.0,False,False
UGC06614,13,0.0,0,0,0.016666666666666666,0.035355339059327376,0.08333333333333333,1.0,False,False
UGC06628,7,0.0,0,0,0.3366666666666667,0.12905640455070627,0.5,1.0,False,False
UGC06667,9,0.0,0,1,0.1325,0.08806957476904269,0.25,1.0,False,False
UGC06786,45,0.0,0,0,0.3231818181818182,0.04540679309865576,0.3874999999999999,1.0,False,False
UGC06787,71,0.02857142857142857,2,1,0.09899999999999999,0.026897765630594064,0.14285714285714285,1.0,False,False
UGC06818,8,0.7142857142857143,5,1,0.6085714285714285,0.11179427169436486,0.7142857142857143,0.39,False,False
UGC06917,11,0.1,1,0,0.259,0.0939095309327014,0.4,0.99,False,False
UGC06923,6,0.2,1,0,0.402,0.1708683703907777,0.6,0.96,False,False
UGC06930,10,0.1111111111111111,1,0,0.1622222222222222,0.08666666666666667,0.3333333333333333,0.92,False,False
UGC06973,9,0.0,0,0,0.0,0.0,0.0,0.5,False,True
UGC06983,17,0.0625,1,1,0.279375,0.07523660595082689,0.4375,1.0,False,False
UGC07089,12,0.2727272727272727,3,1,0.3745454545454545,0.08746191615131413,0.4590909090909088,0.96,False,False
UGC07125,13,0.0,0,1,0.2833333333333334,0.09574271077563382,0.4166666666666667,1.0,False,False
UGC07151,11,0.1,1,1,0.3899999999999999,0.1004987562112089,0.5,1.0,False,False
UGC07261,7,0.0,0,0,0.26499999999999996,0.12268976231853161,0.5,1.0,False,False
UGC07323,10,0.2222222222222222,2,1,0.2222222222222222,0.1077262190536962,0.4444444444444444,0.69,False,False
UGC07399,10,0.1111111111111111,1,0,0.15222222222222226,0.0696640970640766,0.2222222222222222,0.96,False,False
UGC07524,31,0.13333333333333333,4,5,0.259,0.04264973622427224,0.3333333333333333,1.0,False,False
UGC07559,7,0.5,3,1,0.33333333333333337,0.11785113019775792,0.5,0.22,False,False
UGC07577,9,0.375,3,0,0.1625,0.07806247497997998,0.25,0.02,True,False
UGC07603,12,0.2727272727272727,3,1,0.38909090909090915,0.08727272727272727,0.5454545454545454,0.98,False,False
UGC07608,8,0.14285714285714285,1,1,0.14285714285714285,0.10690449676496976,0.2857142857142857,0.72,False,False
UGC07690,7,0.0,0,0,0.0,0.0,0.0,0.5,False,True
UGC07866,7,0.3333333333333333,2,1,0.4066666666666666,0.14966629547095767,0.6666666666666666,0.86,False,False
UGC08286,17,0.0,0,1,0.246875,0.07308759727204062,0.375,1.0,False,False
UGC08490,30,0.0,0,0,0.1510344827586207,0.05381520324110181,0.2413793103448276,1.0,False,False
UGC08550,11,0.0,0,0,0.215,0.09526279441628827,0.4,1.0,False,False
UGC08699,41,0.0,0,0,0.2715,0.041385383893350565,0.325,1.0,False,False
UGC08837,8,0.2857142857142857,2,0,0.19571428571428565,0.09401476219298797,0.2857142857142857,0.43,False,False
UGC09037,22,0.19047619047619047,4,1,0.26380952380952377,0.06543765099543575,0.38095238095238093,0.95,False,False
UGC09133,68,0.0,0,0,0.31343283582089554,0.03416574072316298,0.373134328358209,1.0,False,False
UGC09992,5,0.0,0,0,0.0025,0.024874685927665497,0.0,1.0,False,False
UGC10310,7,0.0,0,1,0.285,0.12086493839543928,0.5,1.0,False,False
UGC11455,36,0.2571428571428571,9,5,0.366,0.0458382248472043,0.4299999999999999,1.0,False,False
UGC11557,12,0.45454545454545453,5,1,0.37,0.08552704854639759,0.5454545454545454,0.31,False,False
UGC11820,10,0.0,0,1,0.08444444444444443,0.0722136747078752,0.2222222222222222,1.0,False,False
UGC11914,65,0.0,0,0,0.02609375,0.015633591388017662,0.046875,1.0,False,False
UGC12506,31,0.03333333333333333,1,0,0.3853333333333333,0.05623759122390171,0.46833333333333327,1.0,False,False
UGC12632,15,0.0,0,1,0.2664285714285714,0.07413102024972615,0.36071428571428554,1.0,False,False
UGC12732,16,0.06666666666666667,1,1,0.25799999999999995,0.07220649401388893,0.4,1.0,False,False
UGCA281,7,0.16666666666666666,1,1,0.18166666666666673,0.10825638292703317,0.3333333333333333,0.84,False,False
UGCA442,8,0.14285714285714285,1,1,0.2599999999999999,0.11317315611621918,0.42857142857142855,0.96,False,False
UGCA444,36,0.34285714285714286,12,11,0.2902857142857142,0.04308889719202025,0.3442857142857142,0.18,False,False
